posX,posY,posZ,velX,velY,velZ,landX,landY,landZ
-0.149399995803833,0.05299999937415123,-0.11819999665021896,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.1343614161014557,0.3467615842819214,0.11085355281829834
-0.149399995803833,0.05299999937415123,-0.07819999754428864,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.1343614012002945,0.3467615842819214,0.07085353136062622
-0.149399995803833,0.05299999937415123,-0.03819999843835831,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.1343613862991333,0.3467615842819214,0.03085353784263134
-0.149399995803833,0.05299999937415123,0.0018000006675720215,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.1343613862991333,0.3467615842819214,-0.009146484546363354
-0.149399995803833,0.05299999937415123,0.04179999977350235,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.1343614012002945,0.3467615842819214,-0.04914650693535805
-0.149399995803833,0.05299999937415123,0.08179999887943268,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.1343614161014557,0.3467615842819214,-0.08914652466773987
-0.10939999669790268,0.05299999937415123,-0.11819999665021896,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.17436137795448303,0.3467615842819214,0.11085358262062073
-0.10939999669790268,0.05299999937415123,-0.07819999754428864,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.17436140775680542,0.3467615842819214,0.07085353136062622
-0.10939999669790268,0.05299999937415123,-0.03819999843835831,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.17436139285564423,0.3467615842819214,0.03085353784263134
-0.10939999669790268,0.05299999937415123,0.0018000006675720215,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.17436137795448303,0.3467615842819214,-0.009146484546363354
-0.10939999669790268,0.05299999937415123,0.04179999977350235,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.17436140775680542,0.3467615842819214,-0.04914650693535805
-0.10939999669790268,0.05299999937415123,0.08179999887943268,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.17436139285564423,0.3467615842819214,-0.08914649486541748
0.010600000619888306,0.05299999937415123,0.0018000006675720215,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.05205346271395683,0.3467615842819214,-0.00914645567536354
0.010600000619888306,0.05299999937415123,0.04179999977350235,0.28867512941360474,0.28867512941360474,0.28867512941360474,0.05205346271395683,0.3467615842819214,-0.04914647713303566
